Title,Link,Price,Year,KM Driven,Fuel Type,Transmission,Location,AI Highlights,Price (detail page),KM Driven (detail page),EMI,Fuel Type (detail page),Transmission (detail page),Owner
Kia Seltos GTX Plus Turbo DCT,https://www.cardekho.com/used-car-details/used-Kia-seltos-gtx-plus-turbo-dct-cars-Kolkata_163a4374-fe6a-4f58-aa60-567137cafbe7.htm?adId=30887&adType=41,13.99L,2023,"28,000 kms",Petrol,Automatic,"Kasba, Kolkata","AI Expert
GREAT PRICE
1st owner, 28k km — history is clean on this Seltos.
Kia Seltos holds value well for resale.
Read full report",₹13.99 Lakh,"28,000 km
Below avg","EMI from ₹34,724/mo",Petrol,Automatic,1st Owner
Hyundai Venue SX BSVI,https://www.cardekho.com/used-car-details/used-Hyundai-venue-sx-bsvi-cars-Kolkata_e1023151-06bb-46ca-82ea-f253527c45d6.htm,6.75L,2022,"53,998 kms",Petrol,Manual,"Salt Lake City, Kolkata","AI Expert
BELOW MARKET
1st owner, 54k km — records look solid on this Venue.
Hyundai has a wide service network across India.
Read full report",₹6.75 Lakh,"53,998 km","EMI from ₹16,754/mo",Petrol,Manual,1st Owner
Ford Figo Petrol EXI,https://www.cardekho.com/used-car-details/used-Ford-figo-petrol-exi-cars-Kolkata_86e85231-0d69-41d0-84f4-0a4b123175f1.htm,2.50L,2013,"90,000 kms",Petrol,Manual,"Naktala, Kolkata","AI Expert
ABOVE MARKET
2nd owner, 90k km on this Ford Figo — key checks pass.
Ford exited India in 2021 — verify parts availability first.
Read full report",₹2.50 Lakh,"90,000 km",,Petrol,Manual,2nd Owner
Maruti Suzuki Celerio ZXI Optional,https://www.cardekho.com/used-car-details/used-Maruti-celerio-zxi-optional-cars-Kolkata_fb25f308-1f03-4ade-84ad-de431467ff0f.htm,4.25L,2021,"45,000 kms",Petrol,Manual,"Jadavpur University, Kolkata","AI Expert
GREAT PRICE
1st owner, 45k km — documents are clean on this Celerio.
Maruti service is easy to find.
Read full report",₹4.25 Lakh,"45,000 km","EMI from ₹10,549/mo",Petrol,Manual,1st Owner
Hyundai i20 1.2 Magna Executive,https://www.cardekho.com/used-car-details/used-Hyundai-i20-12-magna-executive-cars-Kolkata_bef2fc87-cae3-4431-82b9-92a92360042d.htm?adId=32584&adType=41,3.75L,2018,"1,14,000 kms",Petrol,Manual,Kolkata,"AI Expert
FAIR PRICE
1st owner, no tampering, 114k km — records look solid on this i20.
Simple to run, easy to park.
Read full report",₹3.75 Lakh,"1,14,000 km","EMI from ₹9,308/mo",Petrol,Manual,1st Owner
Kia Carens Luxury Plus iMT,https://www.cardekho.com/buy-used-car-details/used-Kia-carens-luxury-plus-imt-cars-Kolkata_d1f51fc0-4bc4-4f62-ab61-96a17ce882e8.htm,12.01L,2023,"24,536 kms",Petrol,Manual,"Airport Po, Kolkata","AI Expert
GREAT PRICE
1st owner, no accident, 25k km — records look solid on this Carens.
300-point inspection done. Warranty included.
Read full report",₹12.01 Lakh,"24,536 km
Below avg","EMI from ₹29,804/mo",Petrol,Manual,1st Owner
Honda Elevate ZX Non RF,https://www.cardekho.com/used-car-details/used-Honda-elevate-zx-non-rf-cars-Kolkata_0b96cdf6-09a4-459b-99aa-e20f3cef8ec6.htm,10L,2023,"40,000 kms",Petrol,Manual,"Kasba, Kolkata","AI Expert
BELOW MARKET
1st owner, 40k km — records look solid on this Elevate.
Honda engines are known to last well over high km.
Read full report",₹10 Lakh,"40,000 km","EMI from ₹24,819/mo",Petrol,Manual,1st Owner
Hyundai i20 Active 1.2 S,https://www.cardekho.com/used-car-details/used-Hyundai-i20-active-12-s-cars-Kolkata_e143d461-bb44-4268-83fc-9c1b7390a031.htm,3.99L,2018,"71,000 kms",Petrol,Manual,"Garia Bt, Kolkata","AI Expert
GREAT PRICE
1st owner, 71k km — history looks solid on this i20 Active.
Hyundai has a wide service network across India.
Read full report",₹3.99 Lakh,"71,000 km","EMI from ₹9,904/mo",Petrol,Manual,1st Owner
Toyota Innova Crysta 2.4 VX 8Str,https://www.cardekho.com/used-car-details/used-Toyota-innova-crysta-24-vx-8str-cars-Kolkata_31894da4-7995-4cbb-a143-c738139f803a.htm?adId=32415&adType=41,21.25L,2024,"24,974 kms",Diesel,Manual,"Salt Lake City, Kolkata","AI Expert
GREAT PRICE
1st owner, 25k km — history looks solid on this Innova Crysta.
Only 2 years old — near-new condition at used-car pricing.
Read full report",₹21.25 Lakh,"24,974 km","EMI from ₹52,743/mo",Diesel,Manual,1st Owner
Hyundai Creta SX Tech,https://www.cardekho.com/used-car-details/used-Hyundai-creta-sx-tech-cars-Kolkata_c767a45b-1c3b-4c62-892f-55379837f35c.htm,13.65L,2024,"30,467 kms",Petrol,Manual,"Sarat Bose Road, Kolkata","AI Expert
GREAT PRICE
1st owner, no accident, 30k km — records look solid on this Creta.
Price dropped ₹60k — now at ₹13.7L.
Read full report",₹13.65 Lakh,"30,467 km
Below avg","EMI from ₹33,880/mo",Petrol,Manual,1st Owner
Skoda Slavia 1.0 TSI Style,https://www.cardekho.com/used-car-details/used-Skoda-slavia-10-tsi-style-cars-Kolkata_17c27755-df78-49e4-b6d9-1899a48e266e.htm,9.99L,2023,"8,332 kms",Petrol,Manual,"Airport Po, Kolkata","AI Expert
GREAT PRICE
1st owner, 8k km — history looks solid on this Slavia.
Only 8k km — lower than 94% of similar Slavias on CarDekho.
Read full report",₹9.99 Lakh,"8,332 km
Below avg","EMI from ₹24,796/mo",Petrol,Manual,1st Owner
MG Windsor EV Exclusive,https://www.cardekho.com/used-car-details/used-Mg-windsor-ev-exclusive-cars-Kolkata_32da3ff4-e090-487e-9413-a2a20c4dd716.htm,13.10L,2025,"19,500 kms",Electric,Automatic,"Entally, Kolkata","AI Expert
GREAT PRICE
1st owner, 20k km — documents are clean on this Windsor EV.
1 year old, only 20k km — near-new in every sense.
Read full report",₹13.10 Lakh,"19,500 km
Below avg","EMI from ₹32,515/mo",Electric,Automatic,1st Owner
Jeep Compass 2.0 Limited 4X4,https://www.cardekho.com/used-car-details/used-Jeep-compass-20-limited-4x4-cars-Kolkata_acc9a013-6787-4bd8-9c51-f96295f63d7c.htm?adId=31987&adType=41,7.40L,2018,"48,000 kms",Diesel,Manual,"Middleton Row, Kolkata","AI Expert
GREAT PRICE
2nd owner, 48k km on this Compass — key checks pass.
Simple to run, easy to park.
Read full report",₹7.40 Lakh,"48,000 km","EMI from ₹18,367/mo",Diesel,Manual,2nd Owner
Maruti Suzuki S-Presso VXI Plus 2019-2022,https://www.cardekho.com/used-car-details/used-Maruti-s-presso-vxi-plus-2019-2022-cars-Kolkata_9f8525e2-ba6d-4cf6-a38a-0b3a134546ee.htm,3L,2020,"27,132 kms",Petrol,Manual,"Jadavpur University, Kolkata","AI Expert
BELOW MARKET
1st owner, 27k km — ownership and records look solid on this S-Presso.
One of the lowest running costs of any car in India.
Read full report",₹3 Lakh,"27,132 km
Below avg","EMI from ₹7,447/mo",Petrol,Manual,1st Owner
Hyundai Grand i10 1.2 Kappa Asta,https://www.cardekho.com/used-car-details/used-Hyundai-grand-i10-12-kappa-asta-cars-Kolkata_eb61c91a-e6c3-4e63-8887-c43c562c8619.htm,5.40L,2022,"12,041 kms",Petrol,Manual,"Airport Po, Kolkata","AI Expert
GREAT PRICE
2nd owner, 12k km — papers are clean on this Grand i10.
300-point inspection done. Warranty included.
Read full report",₹5.40 Lakh,"12,041 km
Below avg","EMI from ₹13,393/mo",Petrol,Manual,2nd Owner
Skoda Kushaq 1.5 TSI Ambition DSG DT,https://www.cardekho.com/used-car-details/used-Skoda-kushaq-15-tsi-ambition-dsg-dt-cars-Kolkata_8a74bcbc-f8a8-4759-9170-2cc0cde1c73d.htm,12.75L,2023,"17,000 kms",Petrol,Automatic,"Ballygunge RS, Kolkata","AI Expert
ABOVE MARKET
1st owner, 17k km — history looks solid on this Kushaq.
Skoda service is easy to find.
Read full report",₹12.75 Lakh,"17,000 km
Below avg","EMI from ₹31,646/mo",Petrol,Automatic,1st Owner
Maruti Suzuki S-Presso VXI Plus 2019-2022,https://www.cardekho.com/used-car-details/used-Maruti-s-presso-vxi-plus-2019-2022-cars-Kolkata_5060ccf9-61f3-458a-9843-7abca62c5a89.htm?adId=33175&adType=41,3.25L,2020,"32,000 kms",Petrol,Manual,"Garia Bt, Kolkata","AI Expert
GREAT PRICE
1st owner, 32k km — history is traceable on this S-Presso.
Maruti service is available in almost every .
Read full report",₹3.25 Lakh,"32,000 km","EMI from ₹8,067/mo",Petrol,Manual,1st Owner
Hyundai i20 Sportz BSVI,https://www.cardekho.com/used-car-details/used-Hyundai-i20-sportz-bsvi-cars-Kolkata_4077d391-2e8b-4dfa-97a4-a057f8fd347d.htm,5.10L,2020,"30,000 kms",Petrol,Manual,"Airport, Kolkata","AI Expert
FAIR PRICE
1st owner, 30k km — papers are clean on this i20.
Hyundai has a wide service network across India.
Read full report",₹5.10 Lakh,"30,000 km
Below avg","EMI from ₹12,659/mo",Petrol,Manual,1st Owner
Hyundai Creta SX Diesel BSVI,https://www.cardekho.com/used-car-details/used-Hyundai-creta-sx-diesel-bsvi-cars-Kolkata_7b0de185-08b9-4dc5-9ce1-5fa1415dc0be.htm,10.25L,2022,"55,500 kms",Diesel,Manual,"Bhowanipore, Kolkata","AI Expert
GREAT PRICE
1st owner, 56k km — papers are clean on this Creta.
Simple to run, easy to park.
Read full report",₹10.25 Lakh,"55,500 km","EMI from ₹25,444/mo",Diesel,Manual,1st Owner
Hyundai Creta 1.6 SX Automatic,https://www.cardekho.com/used-car-details/used-Hyundai-creta-16-sx-automatic-cars-Kolkata_074fd3dd-5e68-45bf-bac5-79e5e1ebb5f8.htm,6.98L,2019,"42,000 kms",Petrol,Automatic,"Kasba, Kolkata","AI Expert
GREAT PRICE
1st owner, 42k km — history looks clean on this Creta.
Creta holds resale value well.
Read full report",₹6.98 Lakh,"42,000 km","EMI from ₹17,325/mo",Petrol,Automatic,1st Owner
Maruti Suzuki Swift Dzire ZXI,https://www.cardekho.com/used-car-details/used-Maruti-swift-dzire-zxi-cars-Kolkata_ea70d4b2-ce73-4975-a347-53c7cdd9a769.htm?adId=32800&adType=41,2.99L,2013,"32,000 kms",Petrol,Manual,"J.b.s, Kolkata","AI Expert
BELOW MARKET
1st owner, 32k km — key checks pass on this Swift Dzire.
Price dropped ₹20k — now at ₹3L.
Read full report",₹2.99 Lakh,"32,000 km
Below avg",,Petrol,Manual,1st Owner
Mahindra TUV 300 T8,https://www.cardekho.com/used-car-details/used-Mahindra-tuv-300-t8-cars-Kolkata_ab1db2dd-b332-41c1-b067-86357c67bb31.htm,4.75L,2016,"54,000 kms",Diesel,Manual,"Garia Bt, Kolkata","AI Expert
GREAT PRICE
2nd owner, 54k km on this TUV 300 — documents are clean.
Mahindra SUVs are built for Indian roads — rugged and reliable.
Read full report",₹4.75 Lakh,"54,000 km","EMI from ₹20,627/mo",Diesel,Manual,2nd Owner
Toyota Rumion S,https://www.cardekho.com/used-car-details/used-Toyota-rumion-s-cars-Kolkata_d3559146-ea18-4407-8a84-da8e116ce44c.htm,9.90L,2025,"12,000 kms",Petrol,Manual,"Ballygunge, Kolkata","AI Expert
GREAT PRICE
1st owner, 12k km — papers are clean on this Rumion.
1 year old, only 12k km — near-new in every sense.
Read full report",₹9.90 Lakh,"12,000 km
Below avg","EMI from ₹24,572/mo",Petrol,Manual,1st Owner
Tata Nexon EV Fearless LR,https://www.cardekho.com/used-car-details/used-Tata-nexon-ev-fearless-lr-cars-Kolkata_55eb1b9a-1e67-421a-ac15-5689d8e0dd48.htm,9.85L,2023,"25,000 kms",Electric,Automatic,"Ghose Bagan, Kolkata","AI Expert
GREAT PRICE
1st owner, 25k km — ownership is clean on this Nexon EV.
Tata EVs have near-zero running costs for daily city use.
Read full report",₹9.85 Lakh,"25,000 km
Below avg","EMI from ₹24,448/mo",Electric,Automatic,1st Owner
Volkswagen Polo 1.2 MPI Highline,https://www.cardekho.com/used-car-details/used-Volkswagen-polo-12-mpi-highline-cars-Kolkata_2fe51fed-7730-4881-89fe-8eb0c5295be7.htm?adId=32801&adType=41,2.49L,2013,"44,000 kms",Petrol,Manual,"J.b.s, Kolkata","AI Expert
BELOW MARKET
2nd owner, 44k km — papers are clean on this Polo.
Price dropped ₹50k — now at ₹2.5L.
Read full report",₹2.49 Lakh,"44,000 km
Below avg",,Petrol,Manual,2nd Owner
Hyundai Grand i10 Nios Asta,https://www.cardekho.com/used-car-details/used-Hyundai-grand-i10-nios-asta-cars-Kolkata_737c4b8b-d8d2-4f28-bf86-60d1009c822d.htm,5.99L,2024,"16,000 kms",Petrol,Manual,"Ballygunge, Kolkata","AI Expert
BELOW MARKET
1st owner, 16k km — history looks solid on this Grand i10 Nios.
2 year old, only 16k km — near-new in every sense.
Read full report",₹5.99 Lakh,"16,000 km
Below avg","EMI from ₹14,868/mo",Petrol,Manual,1st Owner
Maruti Suzuki Swift Dzire VDI,https://www.cardekho.com/used-car-details/used-Maruti-swift-dzire-vdi-cars-Kolkata_5ada2cac-064d-4a44-abf8-16e7ca70e493.htm,2.20L,2013,"90,000 kms",Diesel,Manual,"Thakurpukur, Kolkata","AI Expert
BELOW MARKET
2nd owner, 90k km on this Swift Dzire — key checks are clear.
Simple to run, easy to park.
Read full report",₹2.20 Lakh,"90,000 km",,Diesel,Manual,2nd Owner
Hyundai Creta S Plus Knight,https://www.cardekho.com/used-car-details/used-Hyundai-creta-s-plus-knight-cars-Kolkata_e098b4f2-2c7f-4a4a-9db9-7f3cebabd76d.htm,10.49L,2023,"12,000 kms",Petrol,Manual,"J.b.s, Kolkata","AI Expert
GREAT PRICE
2nd owner, 12k km — papers are clean on this Creta.
Price dropped ₹50k — now at ₹10.5L.
Read full report",₹10.49 Lakh,"12,000 km
Below avg","EMI from ₹26,037/mo",Petrol,Manual,2nd Owner
Maruti Suzuki Celerio X ZXI,https://www.cardekho.com/used-car-details/used-Maruti-celerio-x-zxi-cars-Kolkata_9723019c-79f4-4d29-b49b-f93bc238a034.htm?adId=32162&adType=41,4.05L,2021,"50,000 kms",Petrol,Manual,"Baranagar, Kolkata","AI Expert
GREAT PRICE
1st owner, 50k km — key checks pass on this Celerio X.
Maruti service is available in almost every city and town.
Read full report",₹4.05 Lakh,"50,000 km","EMI from ₹10,053/mo",Petrol,Manual,1st Owner
Mercedes-Benz A Class A180 CDI,https://www.cardekho.com/used-car-details/used-Mercedes-benz-a-class-a180-cdi-cars-Kolkata_02090b5d-84bd-4b43-be8b-5f670d1af189.htm,10L,2014,"40,000 kms",Diesel,Automatic,"Gobinda Khatick Road, Kolkata",,₹10 Lakh,"40,000 km",,Diesel,Automatic,2nd Owner
Volkswagen Polo 1.2 MPI Comfortline,https://www.cardekho.com/used-car-details/used-Volkswagen-polo-12-mpi-comfortline-cars-Kolkata_72ec2f1d-68f4-4538-960d-db0567a65fc8.htm,2.50L,2014,"1,10,000 kms",Petrol,Manual,"Kalighat, Kolkata",,₹2.50 Lakh,"1,10,000 km",,Petrol,Manual,1st Owner
Toyota Fortuner 2.8 4WD AT BSIV,https://www.cardekho.com/used-car-details/used-Toyota-fortuner-28-4wd-at-bsiv-cars-Kolkata_7844cecd-3a1a-4233-9dc0-58be23482017.htm,22L,2017,"1,20,000 kms",Diesel,Automatic,"Jodhpur Park, Kolkata",,₹22 Lakh,"1,20,000 km","EMI from ₹68,154/mo",Diesel,Automatic,1st Owner
Maruti Suzuki Eeco 5 Seater AC BSIV,https://www.cardekho.com/used-car-details/used-Maruti-eeco-5-seater-ac-bsiv-cars-Kolkata_cc059816-2f4b-447a-963f-306d0db9d39e.htm,2.54 Lakh,2014,"10,000 km",,,,,₹2.54 Lakh,"10,000 km",,Petrol,Manual,1st Owner
Maruti Suzuki Alto 800 LXI,https://www.cardekho.com/used-car-details/used-Maruti-alto-800-lxi-cars-Kolkata_474f95e2-375a-422a-9551-2ae6bfaf363b.htm,2.10 Lakh,2016,"35,925 km",,,,,₹2.10 Lakh,"35,925 km","EMI from ₹9,120/mo",Petrol,Manual,1st Owner
Maruti Suzuki Eeco 7 Seater STD (O),https://www.cardekho.com/used-car-details/used-Maruti-eeco-7-seater-std-o-cars-Kolkata_d57a6c0f-474d-406b-95cd-ae5484dd49d3.htm,4.50 Lakh,2022,"90,000 km",,,,,₹4.50 Lakh,"90,000 km","EMI from ₹11,170/mo",Petrol,Manual,1st Owner
Mercedes-Benz GL-Class 350 CDI Blue Efficiency,https://www.cardekho.com/used-car-details/used-Mercedes-benz-gl-class-350-cdi-blue-efficiency-cars-Kolkata_c8ac3194-07bb-4adb-ba2a-f564f25f2bee.htm,22 Lakh,2014,"1,03,000 km",,,,,₹22 Lakh,"1,03,000 km",,Diesel,Automatic,1st Owner
Maruti Suzuki Wagon R AMT VXI,https://www.cardekho.com/used-car-details/used-Maruti-wagon-r-amt-vxi-cars-Kolkata_8e2415af-1b0f-4276-8fd1-930e3ce98fdd.htm,2.85 Lakh,2019,"40,000 km",,,,,₹2.85 Lakh,"40,000 km","EMI from ₹7,074/mo",Petrol,Automatic,3rd Owner
Maruti Suzuki Swift Dzire VDI,https://www.cardekho.com/used-car-details/used-Maruti-swift-dzire-vdi-cars-Kolkata_182facb7-deb5-4d24-88db-11e8a59b05e3.htm,4.34L,2017,"58,000 kms",Diesel,Manual,"Sarat Bose Road, Kolkata","AI Expert
GREAT PRICE
1st owner, 58k km — history looks solid on this Swift Dzire.
Maruti service is available in almost every city and town.
Read full report",₹4.34 Lakh,"58,000 km","EMI from ₹13,445/mo",Diesel,Manual,1st Owner
Maruti Suzuki Wagon R VXI BS IV,https://www.cardekho.com/used-car-details/used-Maruti-wagon-r-vxi-bs-iv-cars-Kolkata_04bedd44-466a-4ce9-a2a6-d8d1cd135771.htm,2.75L,2018,"52,000 kms",Petrol,Manual,"Garia Bt, Kolkata","AI Expert
BELOW MARKET
1st owner, 52k km — history looks solid on this Wagon R.
Maruti service is available in almost every city and town.
Read full report",₹2.75 Lakh,"52,000 km","EMI from ₹6,826/mo",Petrol,Manual,1st Owner
Mahindra XUV 3XO AX5 L Turbo,https://www.cardekho.com/used-car-details/used-Mahindra-xuv-3xo-ax5-l-turbo-cars-Kolkata_64340843-d7b0-4832-a694-573a69127bfe.htm,10.50L,2025,"2,750 kms",Petrol,Manual,"Entally, Kolkata","AI Expert
GREAT PRICE
1st owner, 3k km — key checks pass on this XUV 3XO.
Only 1 year old — near-new at used-car pricing.
Read full report",₹10.50 Lakh,"2,750 km
Below avg","EMI from ₹26,062/mo",Petrol,Manual,1st Owner
Hyundai Verna SX,https://www.cardekho.com/used-car-details/used-Hyundai-verna-sx-cars-Kolkata_a8631b74-b794-454c-8b15-22648e6db5e6.htm?adId=31023&adType=41,7.99L,2021,"22,000 kms",Petrol,Manual,"Bhowanipore, Kolkata","AI Expert
GREAT PRICE
1st owner, 22k km — history looks solid on this Verna.
Hyundai has a wide service network across India.
Read full report",₹7.99 Lakh,"22,000 km
Below avg","EMI from ₹19,835/mo",Petrol,Manual,1st Owner
Maruti Suzuki Baleno Alpha Diesel,https://www.cardekho.com/used-car-details/used-Maruti-baleno-alpha-diesel-cars-Kolkata_1173b8a8-7ecc-4c4b-9db7-27aa40bb23ed.htm,6.18L,2021,"52,400 kms",Diesel,Manual,"Airport Po, Kolkata","AI Expert
GREAT PRICE
1st owner, 52k km — records look solid on this Baleno.
Comprehensive insurance — valid till May 2027.
Read full report",₹6.18 Lakh,"52,400 km","EMI from ₹15,339/mo",Diesel,Manual,1st Owner
Hyundai Creta N Line N10 DCT,https://www.cardekho.com/used-car-details/used-Hyundai-creta-n-line-n10-dct-cars-Kolkata_def5f0a8-022d-484d-a465-04c88382673c.htm,16.95L,2024,"14,000 kms",Petrol,Automatic,"Ballygunge, Kolkata","AI Expert
GREAT PRICE
1st owner, 14k km — ownership is clean on this Creta N Line.
2 year old, only 14k km — near-new in every sense.
Read full report",₹16.95 Lakh,"14,000 km
Below avg","EMI from ₹42,071/mo",Petrol,Automatic,1st Owner
Hyundai Grand i10 1.2 Kappa Asta,https://www.cardekho.com/used-car-details/used-Hyundai-grand-i10-12-kappa-asta-cars-Kolkata_39463eef-44e7-4899-b62c-5d862cf33ffd.htm,2.83L,2014,"27,393 kms",Petrol,Manual,"Airport Po, Kolkata","AI Expert
GREAT PRICE
2nd owner, 27k km — key checks pass on this Grand i10.
Only 27k km — lower than 80% of similar Grand i10s on CarDekho.
Read full report",₹2.83 Lakh,"27,393 km
Below avg",,Petrol,Manual,2nd Owner
Hyundai Aura S AMT,https://www.cardekho.com/used-car-details/used-Hyundai-aura-s-amt-cars-Kolkata_c13f913e-eb5d-4c14-8408-e1c02c2178cf.htm?adId=33050&adType=41,6.55L,2022,"13,533 kms",Petrol,Automatic,"Salt Lake City, Kolkata","AI Expert
GREAT PRICE
1st owner, 14k km — history looks clean on this Aura.
Only 14k km — lower than 98% of similar Auras on CarDekho.
Read full report",₹6.55 Lakh,"13,533 km
Below avg","EMI from ₹16,258/mo",Petrol,Automatic,1st Owner
Hyundai Verna EX,https://www.cardekho.com/buy-used-car-details/used-Hyundai-verna-ex-cars-Kolkata_13ab2753-b57d-4bb2-8f8a-ffb57c063f79.htm,4.88L,2018,"87,080 kms",Petrol,Manual,"E.K.T, Kolkata","AI Expert
GREAT PRICE
1st owner, 87k km — records look solid on this Verna.
300-point inspection done. Warranty included.
Read full report",₹4.88 Lakh,"87,080 km","EMI from ₹12,113/mo",Petrol,Manual,1st Owner
Honda Amaze VX Petrol,https://www.cardekho.com/used-car-details/used-Honda-amaze-vx-petrol-cars-Kolkata_c85e6e24-952d-4915-9aa8-6dcff67f325d.htm,4.85L,2021,"45,000 kms",Petrol,Manual,"Kasba, Kolkata","AI Expert
GREAT PRICE
1st owner, 45k km — history looks clean on this Amaze.
Simple to run, easy to park.
Read full report",₹4.85 Lakh,"45,000 km
Below avg","EMI from ₹12,038/mo",Petrol,Manual,1st Owner
Maruti Suzuki Swift ZXI BSVI,https://www.cardekho.com/used-car-details/used-Maruti-swift-zxi-bsvi-cars-Kolkata_1db1ffdc-a684-4886-9a15-2db11acad389.htm,5L,2021,"10,000 kms",Petrol,Manual,"Bonhooghly, Kolkata","AI Expert
BELOW MARKET
2nd owner, 10k km — key checks pass on this Swift.
Simple to run, easy to park.
Read full report",₹5 Lakh,"10,000 km
Below avg","EMI from ₹12,411/mo",Petrol,Manual,2nd Owner
Hyundai Verna SX,https://www.cardekho.com/used-car-details/used-Hyundai-verna-sx-cars-Kolkata_a8631b74-b794-454c-8b15-22648e6db5e6.htm?adId=31023&adType=41,7.99L,2021,"22,000 kms",Petrol,Manual,"Bhowanipore, Kolkata","AI Expert
GREAT PRICE
1st owner, 22k km — history looks solid on this Verna.
Hyundai has a wide service network across India.
Read full report",₹7.99 Lakh,"22,000 km
Below avg","EMI from ₹19,835/mo",Petrol,Manual,1st Owner
Volkswagen Polo GT TSI,https://www.cardekho.com/used-car-details/used-Volkswagen-polo-gt-tsi-cars-Kolkata_9ab83b9b-68e0-4cbc-9200-16c071ad07b8.htm,5.99L,2019,"39,000 kms",Petrol,Automatic,"Rash Behari Avenue, Kolkata","AI Expert
GREAT PRICE
1st owner, 39k km — ownership is clean on this Polo GT TSI.
Comprehensive insurance — valid till February 2027.
Read full report",₹5.99 Lakh,"39,000 km
Below avg","EMI from ₹14,868/mo",Petrol,Automatic,1st Owner
Honda Elevate ZX CVT Non RF,https://www.cardekho.com/buy-used-car-details/used-Honda-elevate-zx-cvt-non-rf-cars-Kolkata_86bff0d0-9826-4315-b029-12e05369fdcc.htm,10.82L,2023,"37,974 kms",Petrol,Automatic,"E.K.T, Kolkata","AI Expert
GREAT PRICE
1st owner, 38k km — documents are clean on this Elevate.
300-point inspection done. Warranty included.
Read full report",₹10.82 Lakh,"37,974 km","EMI from ₹26,855/mo",Petrol,Automatic,1st Owner
Tata Altroz XM,https://www.cardekho.com/used-car-details/used-Tata-altroz-xm-cars-Kolkata_4b4199c9-8527-4d24-9b1c-cbace70e51c1.htm,4.49L,2020,"34,000 kms",Petrol,Manual,"Bhowanipore, Kolkata","AI Expert
GREAT PRICE
1st owner, 34k km — history looks solid on this Altroz.
Tata has a wide service network and reliable after-sales support.
Read full report",₹4.49 Lakh,"34,000 km
Below avg","EMI from ₹11,148/mo",Petrol,Manual,1st Owner
Jaguar XF 2.0 Petrol Portfolio,https://www.cardekho.com/used-car-details/used-Jaguar-xf-20-petrol-portfolio-cars-Kolkata_3889bae5-ad51-438f-ac50-74f9142a7075.htm?adId=32131&adType=41,16L,2017,"40,000 kms",Petrol,Automatic,"Canal Circular Road, Phool Bagan, Kankurgachi, Kolkata","AI Expert
GREAT PRICE
4th owner, no accident, 40k km — records are clear on this XF.
Simple to run, easy to park.
Read full report",₹16 Lakh,"40,000 km","EMI from ₹49,567/mo",Petrol,Automatic,4th Owner
Mahindra Bolero B6 Opt BSVI,https://www.cardekho.com/used-car-details/used-Mahindra-bolero-b6-opt-bsvi-cars-Kolkata_00b2d5e6-0f76-41aa-914f-066cb905fb80.htm,8.37L,2022,"80,000 kms",Diesel,Manual,"E.K.T, Kolkata","AI Expert
GREAT PRICE
1st owner, 80k km — records look solid on this Bolero.
Mahindra service is easy to find.
Read full report",₹8.37 Lakh,"80,000 km","EMI from ₹20,775/mo",Diesel,Manual,1st Owner
Hyundai Creta SX Diesel,https://www.cardekho.com/buy-used-car-details/used-Hyundai-creta-sx-diesel-cars-Kolkata_8b908304-7e08-4046-80da-e40e77e798c6.htm,9.50L,2022,"99,981 kms",Diesel,Manual,"E.K.T, Kolkata","AI Expert
BELOW MARKET
1st owner, 100k km — history is traceable on this Creta.
300-point inspection done. Warranty included.
Read full report",₹9.50 Lakh,"99,981 km","EMI from ₹23,569/mo",Diesel,Manual,1st Owner
Maruti Suzuki Swift VXI AMT BSVI,https://www.cardekho.com/used-car-details/used-Maruti-swift-vxi-amt-bsvi-cars-Kolkata_30ce5734-94c2-4ea0-b840-9bff9699c6ba.htm,5.75L,2021,"37,397 kms",Petrol,Automatic,"Salt Lake City, Kolkata","AI Expert
FAIR PRICE
1st owner, 37k km, no accident — key checks pass on this Swift.
Maruti service is available in almost every city and town.
Read full report",₹5.75 Lakh,"37,397 km
Below avg","EMI from ₹14,272/mo",Petrol,Automatic,1st Owner
Maruti Suzuki S-Presso VXI Plus 2019-2022,https://www.cardekho.com/used-car-details/used-Maruti-s-presso-vxi-plus-2019-2022-cars-Kolkata_5060ccf9-61f3-458a-9843-7abca62c5a89.htm?adId=33175&adType=41,3.25L,2020,"32,000 kms",Petrol,Manual,"Garia Bt, Kolkata","AI Expert
GREAT PRICE
1st owner, 32k km — history is traceable on this S-Presso.
Maruti service is available in almost every .
Read full report",₹3.25 Lakh,"32,000 km","EMI from ₹8,067/mo",Petrol,Manual,1st Owner
Mahindra KUV 100 mFALCON G80 K6 Plus,https://www.cardekho.com/used-car-details/used-Mahindra-kuv-100-mfalcon-g80-k6-plus-cars-Kolkata_7703fdd5-220b-4d26-8f23-9055e597aac7.htm,2.50L,2017,"50,000 kms",Petrol,Manual,"Laskarpur Road, Garia Gardens, Narkal Bagan, Kolkata","AI Expert
GREAT PRICE
3rd owner, 50k km — records look solid on this KUV 100.
Mahindra SUVs are built for Indian roads — rugged and reliable.
Read full report",₹2.50 Lakh,"50,000 km","EMI from ₹7,745/mo",Petrol,Manual,3rd Owner
