Title,Link,Price,Year,KM Driven,Fuel Type,Transmission,Location,AI Highlights,Price (detail page),KM Driven (detail page),EMI,Fuel Type (detail page),Transmission (detail page),Owner
Mahindra XUV700 AX5 7 Str BSVI,https://www.cardekho.com/used-car-details/used-Mahindra-xuv700-ax5-7-str-bsvi-cars-Kolkata_43744a0b-5775-4ceb-9174-9d68044130b0.htm?adId=32586&adType=41,11.90L,2022,"32,355 kms",Petrol,Manual,"Salt Lake City, Kolkata","AI Expert
BELOW MARKET
1st owner, 32k km — documents are clean on this XUV700.
₹1.2L below what similar XUV700s sell for.
Read full report",₹11.90 Lakh,"32,355 km
Below avg","EMI from ₹29,536/mo",Petrol,Manual,1st Owner
Maruti Suzuki Zen Estilo Sports,https://www.cardekho.com/used-car-details/used-Maruti-zen-estilo-sports-cars-Kolkata_ef7971e6-2e1e-48d3-9aba-1b48854e4486.htm,90K,2008,"1,07,000 kms",Petrol,Manual,"Haltu, Kolkata","AI Expert
GREAT PRICE
2nd owner, 107k km — key checks pass on this Zen Estilo.
Maruti service is available in almost every city and town.
Read full report",₹90 Thousand,"1,07,000 km",,Petrol,Manual,2nd Owner
Maruti Suzuki Alto 800 LXi,https://www.cardekho.com/used-car-details/used-Maruti-alto-800-lxi-cars-Kolkata_b714de83-fdfa-4a84-a78c-765904834d7c.htm,1.99L,2014,"34,703 kms",Petrol,Manual,"Airport Po, Kolkata","AI Expert
GREAT PRICE
1st owner, 35k km — records look solid on this Alto 800.
300-point inspection done. Warranty included.
Read full report",₹1.99 Lakh,"34,703 km",,Petrol,Manual,1st Owner
Maruti Suzuki Swift LXi,https://www.cardekho.com/used-car-details/used-Maruti-swift-lxi-cars-Kolkata_b597c82f-0a42-4d57-b408-98e8efc5e2e4.htm,3.25L,2017,"58,291 kms",Petrol,Manual,"E.K.T, Kolkata","AI Expert
GREAT PRICE
2nd owner, 58k km — papers look clean on this Swift.
300-point inspection done. Warranty included.
Read full report",₹3.25 Lakh,"58,291 km","EMI from ₹10,069/mo",Petrol,Manual,2nd Owner
Hyundai Creta SX BSVI,https://www.cardekho.com/used-car-details/used-Hyundai-creta-sx-bsvi-cars-Kolkata_d7434222-7d69-4740-827f-64cd452ff47a.htm?adId=32522&adType=41,10.50L,2023,"21,000 kms",Petrol,Manual,"Kasba, Kolkata","AI Expert
GREAT PRICE
1st owner, no accident, 21k km — documents are clean on this Creta.
Hyundai has a wide service network across India.
Read full report",₹10.50 Lakh,"21,000 km
Below avg","EMI from ₹26,062/mo",Petrol,Manual,1st Owner
Maruti Suzuki Celerio LXI,https://www.cardekho.com/used-car-details/used-Maruti-celerio-lxi-cars-Kolkata_5185e9be-89f4-43e7-9daf-2153a49ae732.htm,2.04L,2014,"70,011 kms",Petrol,Manual,"Airport Po, Kolkata","AI Expert
GREAT PRICE
1st owner, 70k km — documents look clean on this Celerio.
300-point inspection done. Warranty included.
Read full report",₹2.04 Lakh,"70,011 km",,Petrol,Manual,1st Owner
Maruti Suzuki S-Presso VXI 2019-2022,https://www.cardekho.com/used-car-details/used-Maruti-s-presso-vxi-2019-2022-cars-Kolkata_91ad88a9-4158-43c8-8e44-6967a397d27f.htm,3.60L,2021,"18,000 kms",Petrol,Manual,"Ballygunge, Kolkata","AI Expert
GREAT PRICE
1st owner, 18k km — history looks clean on this S-Presso.
Zero-dep insurance — valid till February 2027.
Read full report",₹3.60 Lakh,"18,000 km
Below avg","EMI from ₹8,936/mo",Petrol,Manual,1st Owner
Hyundai Creta EX,https://www.cardekho.com/buy-used-car-details/used-Hyundai-creta-ex-cars-Kolkata_1500eab9-d606-4dfa-a190-65eb8059d9a5.htm,9.46L,2023,"19,006 kms",Petrol,Manual,"E.K.T, Kolkata","AI Expert
GREAT PRICE
1st owner, 19k km — key checks pass on this Creta.
Only 19k km — lower than 80% of similar Cretas on CarDekho.
Read full report",₹9.46 Lakh,"19,006 km
Below avg","EMI from ₹23,470/mo",Petrol,Manual,1st Owner
Tata Safari Accomplished Plus,https://www.cardekho.com/used-car-details/used-Tata-safari-accomplished-plus-cars-Kolkata_3527661d-988a-4708-ab96-b6c3c83c0c2a.htm?adId=32985&adType=41,16L,2023,"86,000 kms",Diesel,Manual,"Khiddirpore, Kolkata","AI Expert
FAIR PRICE
1st owner, no odometer tampering, 86k km on this Safari.
Tata has a wide service network and reliable after-sales support.
Read full report",₹16 Lakh,"86,000 km","EMI from ₹39,713/mo",Diesel,Manual,1st Owner
Hyundai Alcazar Prestige AT,https://www.cardekho.com/used-car-details/used-Hyundai-alcazar-prestige-at-cars-Kolkata_cd46428b-0e0b-4e87-8908-efd8a4fe9d2b.htm,9.49L,2021,"50,000 kms",Petrol,Automatic,"Bhowanipore, Kolkata","AI Expert
GREAT PRICE
1st owner, 50k km — history looks solid on this Alcazar.
Hyundai service is easy to find.
Read full report",₹9.49 Lakh,"50,000 km","EMI from ₹23,558/mo",Petrol,Automatic,1st Owner
Maruti Suzuki Wagon R VXI BS IV,https://www.cardekho.com/used-car-details/used-Maruti-wagon-r-vxi-bs-iv-cars-Kolkata_d8405229-a296-4ccb-bc23-7789e86c476d.htm,2.50L,2013,"21,000 kms",Petrol,Manual,"Garia, Kolkata","AI Expert
ABOVE MARKET
1st owner, 21k km, verified odometer on this Wagon R.
Only 21k km — lower than 80% of similar Wagon Rs on CarDekho.
Read full report",₹2.50 Lakh,"21,000 km
Below avg",,Petrol,Manual,1st Owner
Maruti Suzuki Baleno Zeta AMT,https://www.cardekho.com/buy-used-car-details/used-Maruti-baleno-zeta-amt-cars-Kolkata_acc39430-8a11-47f8-989c-9bf1301d93f8.htm,4.83L,2019,"22,604 kms",Petrol,Automatic,"Airport Po, Kolkata","AI Expert
GREAT PRICE
2nd owner, 23k km — key checks are clear on this Baleno.
Only 23k km — lower than 86% of similar Balenos on CarDekho.
Read full report",₹4.83 Lakh,"22,604 km
Below avg","EMI from ₹11,978/mo",Petrol,Automatic,2nd Owner
Volkswagen Polo 1.2 MPI Highline,https://www.cardekho.com/used-car-details/used-Volkswagen-polo-12-mpi-highline-cars-Kolkata_2fe51fed-7730-4881-89fe-8eb0c5295be7.htm?adId=32801&adType=41,2.49L,2013,"44,000 kms",Petrol,Manual,"J.b.s, Kolkata","AI Expert
BELOW MARKET
2nd owner, 44k km — papers are clean on this Polo.
Price dropped ₹50k — now at ₹2.5L.
Read full report",₹2.49 Lakh,"44,000 km
Below avg",,Petrol,Manual,2nd Owner
Maruti Suzuki Swift LXI Option,https://www.cardekho.com/used-car-details/used-Maruti-swift-lxi-option-cars-Kolkata_6edbcbfa-7866-4c10-8f46-fd4be5f559d4.htm,2.93L,2016,"61,388 kms",Petrol,Manual,"E.K.T, Kolkata","AI Expert
GREAT PRICE
1st owner, 61k km — papers are clean on this Swift.
300-point inspection done. Warranty included.
Read full report",₹2.93 Lakh,"61,388 km","EMI from ₹12,724/mo",Petrol,Manual,1st Owner
Skoda Slavia 1.0 TSI Style AT,https://www.cardekho.com/buy-used-car-details/used-Skoda-slavia-10-tsi-style-at-cars-Kolkata_c537e630-854b-4a9f-9d98-f3a456e333a7.htm,10.86L,2023,"20,347 kms",Petrol,Automatic,"University, Kolkata","AI Expert
GREAT PRICE
1st owner, 20k km — history looks clean on this Slavia.
300-point inspection done. Warranty included.
Read full report",₹10.86 Lakh,"20,347 km
Below avg","EMI from ₹26,956/mo",Petrol,Automatic,1st Owner
Kia Carens Prestige Plus Diesel iMT,https://www.cardekho.com/used-car-details/used-Kia-carens-prestige-plus-diesel-imt-cars-Kolkata_51cb471a-31bd-45ac-a37d-c1741e88f6d2.htm,9.72L,2023,"32,869 kms",Diesel,Manual,"University, Kolkata","AI Expert
GREAT PRICE
1st owner, 33k km, no accident — papers are clean on this Carens.
Price dropped ₹1.1L — now at ₹9.7L.
Read full report",₹9.72 Lakh,"32,869 km","EMI from ₹24,126/mo",Diesel,Manual,1st Owner
Mercedes-Benz E-Class E200 Edition E,https://www.cardekho.com/used-car-details/used-Mercedes-benz-e-class-e200-edition-e-cars-Kolkata_73cb6908-ec97-4ea7-8c3e-c6ed1bb470eb.htm?adId=32414&adType=41,19.25L,2017,"51,089 kms",Petrol,Automatic,"Salt Lake City, Kolkata","AI Expert
GREAT PRICE
1st owner, 51k km — history is traceable on this E-Class.
Mercedes feel at used-car pricing — badge, cabin, tech.
Read full report",₹19.25 Lakh,"51,089 km","EMI from ₹59,635/mo",Petrol,Automatic,1st Owner
Kia Syros HTX Plus Opt Turbo DCT,https://www.cardekho.com/used-car-details/used-Kia-syros-htx-plus-opt-turbo-dct-cars-Kolkata_9fc2ee61-0205-4108-94ea-c3d7b9b4c154.htm,13.65L,2025,"10,000 kms",Petrol,Automatic,"Kasba, Kolkata","AI Expert
GREAT PRICE
1st owner, 10k km, verified on this 2025 Kia Syros.
1 year old, only 10k km — near-new in every sense.
Read full report",₹13.65 Lakh,"10,000 km
Below avg","EMI from ₹33,880/mo",Petrol,Automatic,1st Owner
Toyota Corolla Altis G AT,https://www.cardekho.com/used-car-details/used-Toyota-corolla-altis-g-at-cars-Kolkata_bd646ac6-8cc3-40fd-8cbb-90e07c3ec610.htm,4.65L,2015,"47,599 kms",Petrol,Automatic,"Kalighat, Kolkata","AI Expert
GREAT PRICE
1st owner, 48k km — history looks solid on this Corolla Altis.
Toyota's reliability reputation makes it a strong long-term choice.
Read full report",₹4.65 Lakh,"47,599 km","EMI from ₹37,675/mo",Petrol,Automatic,1st Owner
Honda Amaze S CVT i-VTEC,https://www.cardekho.com/buy-used-car-details/used-Honda-amaze-s-cvt-i-vtec-cars-Kolkata_d0f5d971-1cfc-4eee-8374-1557a968b130.htm,3.92L,2018,"43,189 kms",Petrol,Automatic,"University, Kolkata","AI Expert
GREAT PRICE
1st owner, 43k km — papers are clean on this Amaze.
Price dropped ₹73k — now at ₹3.9L.
Read full report",₹3.92 Lakh,"43,189 km
Below avg","EMI from ₹9,730/mo",Petrol,Automatic,1st Owner
Maruti Suzuki Ciaz Sigma BSVI,https://www.cardekho.com/used-car-details/used-Maruti-ciaz-sigma-bsvi-cars-Kolkata_b0ddcaef-3feb-4fc9-9fae-28181fe44fa6.htm?adId=31783&adType=41,6.20L,2022,"50,000 kms",Petrol,Manual,"Sealdah, Kolkata","AI Expert
GREAT PRICE
1st owner, no odometer tampering — 50k km on this Ciaz looks solid.
Maruti service is easy to find.
Read full report",₹6.20 Lakh,"50,000 km","EMI from ₹15,389/mo",Petrol,Manual,1st Owner
Renault KWID RXT,https://www.cardekho.com/used-car-details/used-Renault-kwid-rxt-cars-Kolkata_8be3b50c-5c36-497e-a7b1-00baec62ccba.htm,2.33L,2018,"37,704 kms",Petrol,Manual,"E.K.T, Kolkata","AI Expert
GREAT PRICE
1st owner, 38k km, insurance flagged — key checks pass on this KWID.
Read full report",₹2.33 Lakh,"37,704 km","EMI from ₹5,787/mo",Petrol,Manual,1st Owner
Mercedes-Benz GLS 350d 4MATIC,https://www.cardekho.com/used-car-details/used-Mercedes-benz-gls-350d-4matic-cars-Kolkata_36fd3e43-187d-4893-8657-ac005e12db0b.htm,29.95L,2018,"59,000 kms",Diesel,Automatic,"Ballygunge Rs, Kolkata","AI Expert
GREAT PRICE
2nd owner, no accident, 59k km — records look solid on this GLS.
Full Mercedes experience at used-car pricing.
Read full report",₹29.95 Lakh,"59,000 km","EMI from ₹74,337/mo",Diesel,Automatic,2nd Owner
Tata Punch Adventure S,https://www.cardekho.com/used-car-details/used-Tata-punch-adventure-s-cars-Kolkata_fc672c00-1ab7-4e3d-9b0d-bf7597b52e20.htm,6.07L,2024,"20,065 kms",Petrol,Manual,"E.K.T, Kolkata","AI Expert
GREAT PRICE
1st owner, 20k km — history looks solid on this Punch.
Only 2 years old — near-new condition at used-car pricing.
Read full report",₹6.07 Lakh,"20,065 km
Below avg","EMI from ₹15,056/mo",Petrol,Manual,1st Owner
Mercedes-Benz E-Class E200 Edition E,https://www.cardekho.com/used-car-details/used-Mercedes-benz-e-class-e200-edition-e-cars-Kolkata_73cb6908-ec97-4ea7-8c3e-c6ed1bb470eb.htm?adId=32414&adType=41,19.25L,2017,"51,089 kms",Petrol,Automatic,"Salt Lake City, Kolkata","AI Expert
GREAT PRICE
1st owner, 51k km — history is traceable on this E-Class.
Mercedes feel at used-car pricing — badge, cabin, tech.
Read full report",₹19.25 Lakh,"51,089 km","EMI from ₹59,635/mo",Petrol,Automatic,1st Owner
Kia Sonet HTX Turbo iMT BSVI,https://www.cardekho.com/used-car-details/used-Kia-sonet-htx-turbo-imt-bsvi-cars-Kolkata_c502b128-5241-4158-8a73-e686bf84746d.htm,6.59L,2022,"49,582 kms",Petrol,Manual,"University, Kolkata","AI Expert
GREAT PRICE
1st owner, 50k km, no accident — key checks pass on this Sonet.
Price dropped ₹12k — now at ₹6.6L.
Read full report",₹6.59 Lakh,"49,582 km","EMI from ₹16,346/mo",Petrol,Manual,1st Owner
Hyundai i10 Asta 1.2 AT with Sunroof,https://www.cardekho.com/used-car-details/used-Hyundai-i10-asta-12-at-with-sunroof-cars-Kolkata_c19568bf-e336-4d22-bad8-d90a79f436d6.htm,7.65L,2023,"19,206 kms",Petrol,Automatic,"University, Kolkata","AI Expert
GREAT PRICE
1st owner, 19k km — papers are clean on this i10.
300-point inspection done. Warranty included.
Read full report",₹7.65 Lakh,"19,206 km
Below avg","EMI from ₹18,984/mo",Petrol,Automatic,1st Owner
Hyundai Creta SX Tech,https://www.cardekho.com/used-car-details/used-Hyundai-creta-sx-tech-cars-Kolkata_955d2d3b-b99a-4274-97c5-b81117788dc4.htm,13.25L,2024,"30,500 kms",Petrol,Manual,"Bhowanipore, Kolkata","AI Expert
GREAT PRICE
1st owner, 30k km — history is traceable on this Creta.
Only 2 years old — near-new condition at used-car pricing.
Read full report",₹13.25 Lakh,"30,500 km","EMI from ₹32,890/mo",Petrol,Manual,1st Owner
Maruti Suzuki Swift ZXI,https://www.cardekho.com/used-car-details/used-Maruti-swift-zxi-cars-Kolkata_57fd2e32-de65-487e-8b86-f0fa94aa99a1.htm?adId=32170&adType=41,4.30L,2018,"48,000 kms",Petrol,Manual,"Alipore, Kolkata","AI Expert
GREAT PRICE
1st owner, 48k km, verified fitness — papers are clean on this Swift.
Simple to run, easy to park.
Read full report",₹4.30 Lakh,"48,000 km","EMI from ₹10,673/mo",Petrol,Manual,1st Owner
Hyundai Grand i10 1.2 Kappa Sportz BSIV,https://www.cardekho.com/used-car-details/used-Hyundai-grand-i10-12-kappa-sportz-bsiv-cars-Kolkata_1f05e614-8a32-4fe2-afdf-18dec1da3e88.htm,2.81L,2015,"74,133 kms",Petrol,Manual,"E.K.T, Kolkata","AI Expert
GREAT PRICE
1st owner, 74k km — documents are clean on this Grand i10.
Comprehensive insurance — valid till May 2027.
Read full report",₹2.81 Lakh,"74,133 km","EMI from ₹22,767/mo",Petrol,Manual,1st Owner
Tata Altroz XT Dark Edition,https://www.cardekho.com/used-car-details/used-Tata-altroz-xt-dark-edition-cars-Kolkata_5bc41d84-b695-4382-ae5b-fab83888045b.htm,5.25L,2023,"55,500 kms",Petrol,Manual,"Bhawanipore, Kolkata","AI Expert
GREAT PRICE
1st owner, 56k km — key checks pass on this Altroz.
Simple to run, easy to park.
Read full report",₹5.25 Lakh,"55,500 km","EMI from ₹13,031/mo",Petrol,Manual,1st Owner
Mahindra XUV 3XO AX5 L Turbo AT,https://www.cardekho.com/used-car-details/used-Mahindra-xuv-3xo-ax5-l-turbo-at-cars-Kolkata_04f5d443-66e4-4c4a-8669-a368881e58b7.htm,11.49L,2026,"15,444 kms",Petrol,Automatic,"Vivekanandapur, Kolkata","AI Expert
GREAT PRICE
1st owner, 15k km on this XUV 3XO — documents are clear.
Only 15k km — lower than 92% of similar XUV 3XOs on CarDekho.
Read full report",₹11.49 Lakh,"15,444 km
Below avg","EMI from ₹28,519/mo",Petrol,Automatic,1st Owner
Hyundai Tucson Platinum AT,https://www.cardekho.com/used-car-details/used-Hyundai-tucson-platinum-at-cars-Kolkata_ab9a5815-4438-417f-bef7-25cfdce3a459.htm?adId=30888&adType=41,17.99L,2023,"19,000 kms",Petrol,Automatic,"Kasba, Kolkata","AI Expert
GREAT PRICE
1st owner, no accident, 19k km — records look solid on this Tucson.
Only 19k km — lower than 97% of similar Tucsons on CarDekho.
Read full report",₹17.99 Lakh,"19,000 km
Below avg","EMI from ₹44,652/mo",Petrol,Automatic,1st Owner
Mercedes-Benz A Class A180 CDI,https://www.cardekho.com/used-car-details/used-Mercedes-benz-a-class-a180-cdi-cars-Kolkata_02090b5d-84bd-4b43-be8b-5f670d1af189.htm,10L,2014,"40,000 kms",Diesel,Automatic,"Gobinda Khatick Road, Kolkata",,₹10 Lakh,"40,000 km",,Diesel,Automatic,2nd Owner
Volkswagen Polo 1.2 MPI Comfortline,https://www.cardekho.com/used-car-details/used-Volkswagen-polo-12-mpi-comfortline-cars-Kolkata_72ec2f1d-68f4-4538-960d-db0567a65fc8.htm,2.50L,2014,"1,10,000 kms",Petrol,Manual,"Kalighat, Kolkata",,₹2.50 Lakh,"1,10,000 km",,Petrol,Manual,1st Owner
Toyota Fortuner 2.8 4WD AT BSIV,https://www.cardekho.com/used-car-details/used-Toyota-fortuner-28-4wd-at-bsiv-cars-Kolkata_7844cecd-3a1a-4233-9dc0-58be23482017.htm,22L,2017,"1,20,000 kms",Diesel,Automatic,"Jodhpur Park, Kolkata",,₹22 Lakh,"1,20,000 km","EMI from ₹68,154/mo",Diesel,Automatic,1st Owner
Maruti Suzuki Eeco 5 Seater AC BSIV,https://www.cardekho.com/used-car-details/used-Maruti-eeco-5-seater-ac-bsiv-cars-Kolkata_cc059816-2f4b-447a-963f-306d0db9d39e.htm,2.54 Lakh,2014,"10,000 km",,,,,₹2.54 Lakh,"10,000 km",,Petrol,Manual,1st Owner
Maruti Suzuki Alto 800 LXI,https://www.cardekho.com/used-car-details/used-Maruti-alto-800-lxi-cars-Kolkata_474f95e2-375a-422a-9551-2ae6bfaf363b.htm,2.10 Lakh,2016,"35,925 km",,,,,₹2.10 Lakh,"35,925 km","EMI from ₹9,120/mo",Petrol,Manual,1st Owner
Maruti Suzuki Eeco 7 Seater STD (O),https://www.cardekho.com/used-car-details/used-Maruti-eeco-7-seater-std-o-cars-Kolkata_d57a6c0f-474d-406b-95cd-ae5484dd49d3.htm,4.50 Lakh,2022,"90,000 km",,,,,₹4.50 Lakh,"90,000 km","EMI from ₹11,170/mo",Petrol,Manual,1st Owner
Mercedes-Benz GL-Class 350 CDI Blue Efficiency,https://www.cardekho.com/used-car-details/used-Mercedes-benz-gl-class-350-cdi-blue-efficiency-cars-Kolkata_c8ac3194-07bb-4adb-ba2a-f564f25f2bee.htm,22 Lakh,2014,"1,03,000 km",,,,,₹22 Lakh,"1,03,000 km",,Diesel,Automatic,1st Owner
Maruti Suzuki Wagon R AMT VXI,https://www.cardekho.com/used-car-details/used-Maruti-wagon-r-amt-vxi-cars-Kolkata_8e2415af-1b0f-4276-8fd1-930e3ce98fdd.htm,2.85 Lakh,2019,"40,000 km",,,,,₹2.85 Lakh,"40,000 km","EMI from ₹7,074/mo",Petrol,Automatic,3rd Owner
Hyundai EON Era,https://www.cardekho.com/used-car-details/used-Hyundai-eon-era-cars-Kolkata_4429b694-5771-4ea8-9cf7-a29a1cfb61bc.htm,1.50L,2012,"40,569 kms",Petrol,Manual,"Beleghata, Kolkata","AI Expert
GREAT PRICE
2nd owner, 41k km on this EON — papers are clean overall.
Comprehensive insurance — valid till June 2027.
Read full report",₹1.50 Lakh,"40,569 km",,Petrol,Manual,2nd Owner
Hyundai Creta SX Diesel,https://www.cardekho.com/used-car-details/used-Hyundai-creta-sx-diesel-cars-Kolkata_96a9bea9-4038-478d-83f3-aa5ca6bd742d.htm,11.35L,2023,"35,000 kms",Diesel,Manual,"Ghose Bagan, Kolkata","AI Expert
GREAT PRICE
1st owner, 35k km, insurance flagged — key checks pass on this Creta.
Hyundai has a wide service network across India.
Read full report",₹11.35 Lakh,"35,000 km","EMI from ₹28,171/mo",Diesel,Manual,1st Owner
Honda Amaze SX i VTEC,https://www.cardekho.com/used-car-details/used-Honda-amaze-sx-i-vtec-cars-Kolkata_b53707f8-c78b-45f0-92ee-c29845a7b9db.htm,3.15L,2017,"30,600 kms",Petrol,Manual,"Alipore, Kolkata","AI Expert
GREAT PRICE
1st owner, no accident, 31k km — history is traceable on this Amaze.
Only 31k km — lower than 88% of similar Amazes on CarDekho.
Read full report",₹3.15 Lakh,"30,600 km
Below avg","EMI from ₹9,759/mo",Petrol,Manual,1st Owner
Maruti Suzuki Swift Dzire LDI,https://www.cardekho.com/used-car-details/used-Maruti-swift-dzire-ldi-cars-Kolkata_5763c306-4ef7-4376-8122-d2b3e60e1d84.htm?adId=32988&adType=41,3.25L,2014,"59,000 kms",Diesel,Manual,"Garia Bt, Kolkata","AI Expert
GREAT PRICE
1st owner, 59k km — history looks solid on this Swift Dzire.
Maruti service is available in almost every city and town.
Read full report",₹3.25 Lakh,"59,000 km",,Diesel,Manual,1st Owner
Skoda Slavia 1.5 TSI Style AT BSVI,https://www.cardekho.com/used-car-details/used-Skoda-slavia-15-tsi-style-at-bsvi-cars-Kolkata_bc47739a-8341-4602-8241-4b3c7d61fa9c.htm,10.50L,2022,"7,200 kms",Petrol,Automatic,"Kalighat, Kolkata","AI Expert
GREAT PRICE
1st owner, 7k km — history looks solid on this Slavia.
Only 7k km — lower than 94% of similar Slavias on CarDekho.
Read full report",₹10.50 Lakh,"7,200 km
Below avg","EMI from ₹26,062/mo",Petrol,Automatic,1st Owner
Hyundai Verna 1.4 VTVT,https://www.cardekho.com/used-car-details/used-Hyundai-verna-14-vtvt-cars-Kolkata_87841b3c-8db8-48ea-871c-180a7d900762.htm,2.75L,2016,"50,000 kms",Petrol,Manual,"Kasba, Kolkata","AI Expert
BELOW MARKET
1st owner, 50k km — papers are clean on this Verna.
Hyundai has a wide service network across India.
Read full report",₹2.75 Lakh,"50,000 km","EMI from ₹11,942/mo",Petrol,Manual,1st Owner
Hyundai Alcazar Prestige AT,https://www.cardekho.com/used-car-details/used-Hyundai-alcazar-prestige-at-cars-Kolkata_cd46428b-0e0b-4e87-8908-efd8a4fe9d2b.htm,9.49L,2021,"50,000 kms",Petrol,Automatic,"Bhowanipore, Kolkata","AI Expert
GREAT PRICE
1st owner, 50k km — history looks solid on this Alcazar.
Hyundai service is easy to find.
Read full report",₹9.49 Lakh,"50,000 km","EMI from ₹23,558/mo",Petrol,Automatic,1st Owner
Maruti Suzuki Ciaz Sigma BSVI,https://www.cardekho.com/used-car-details/used-Maruti-ciaz-sigma-bsvi-cars-Kolkata_b0ddcaef-3feb-4fc9-9fae-28181fe44fa6.htm?adId=31783&adType=41,6.20L,2022,"50,000 kms",Petrol,Manual,"Sealdah, Kolkata","AI Expert
GREAT PRICE
1st owner, no odometer tampering — 50k km on this Ciaz looks solid.
Maruti service is easy to find.
Read full report",₹6.20 Lakh,"50,000 km","EMI from ₹15,389/mo",Petrol,Manual,1st Owner
Honda Amaze 2nd Gen S BSVI,https://www.cardekho.com/used-car-details/used-Honda-amaze-2nd-gen-s-bsvi-cars-Kolkata_5230b795-bb5f-4096-9159-a10c2b0be39a.htm,4.45L,2022,"48,000 kms",Petrol,Manual,"Ghose Bagan, Kolkata","AI Expert
GREAT PRICE
1st owner, 48k km — history is clean on this Amaze 2nd Gen.
Comprehensive insurance — valid till July 2027.
Read full report",₹4.45 Lakh,"48,000 km","EMI from ₹11,045/mo",Petrol,Manual,1st Owner
Tata Altroz XM plus Diesel BSVI,https://www.cardekho.com/used-car-details/used-Tata-altroz-xm-plus-diesel-bsvi-cars-Kolkata_8c88f7b2-2340-41ff-88a8-61e96ca9ec92.htm,4.71L,2022,"33,455 kms",Diesel,Manual,"Kalighat, Kolkata","AI Expert
BELOW MARKET
1st owner, 33k km, insurance flagged — history looks solid on this Altroz.
Tata has a wide service network and reliable after-sales support.
Read full report",₹4.71 Lakh,"33,455 km
Below avg","EMI from ₹11,691/mo",Diesel,Manual,1st Owner
Hyundai Creta SX (O) iVT,https://www.cardekho.com/used-car-details/used-Hyundai-creta-sx-o-ivt-cars-Kolkata_6f3f7ef2-9446-44b0-87f0-57669eb3cd18.htm,11.01L,2021,"62,440 kms",Petrol,Automatic,"Airport Po, Kolkata","AI Expert
GREAT PRICE
1st owner, 62k km — records look solid on this Creta.
300-point inspection done. Warranty included.
Read full report",₹11.01 Lakh,"62,440 km","EMI from ₹27,321/mo",Petrol,Automatic,1st Owner
Jeep Compass 2.0 Limited 4X4,https://www.cardekho.com/used-car-details/used-Jeep-compass-20-limited-4x4-cars-Kolkata_acc9a013-6787-4bd8-9c51-f96295f63d7c.htm?adId=31987&adType=41,7.40L,2018,"48,000 kms",Diesel,Manual,"Middleton Row, Kolkata","AI Expert
GREAT PRICE
2nd owner, 48k km on this Compass — key checks pass.
Simple to run, easy to park.
Read full report",₹7.40 Lakh,"48,000 km","EMI from ₹18,367/mo",Diesel,Manual,2nd Owner
Mahindra TUV 300 T6 Plus BSIV,https://www.cardekho.com/used-car-details/used-Mahindra-tuv-300-t6-plus-bsiv-cars-Kolkata_51e761ff-96a2-466d-901d-c116023add3c.htm,6.49L,2020,"57,000 kms",Diesel,Manual,"J.b.s, Kolkata","AI Expert
GREAT PRICE
1st owner, 57k km — history is traceable on this TUV 300.
Mahindra SUVs are built for Indian roads — rugged and reliable.
Read full report",₹6.49 Lakh,"57,000 km","EMI from ₹16,109/mo",Diesel,Manual,1st Owner
Maruti Suzuki Dzire VXI BSVI,https://www.cardekho.com/used-car-details/used-Maruti-dzire-vxi-bsvi-cars-Kolkata_3ebc7a3a-be66-41cf-8232-5293bc3f4ed2.htm,8.20L,2021,"24,000 kms",Petrol,Manual,"Kalikapur, Kolkata","AI Expert
ABOVE MARKET
1st owner, 24k km — records look solid on this Dzire.
Only 24k km — lower than 80% of similar Dzires on CarDekho.
Read full report",₹8.20 Lakh,"24,000 km
Below avg","EMI from ₹20,353/mo",Petrol,Manual,1st Owner
Hyundai Creta SX Premium iVT DT,https://www.cardekho.com/used-car-details/used-Hyundai-creta-sx-premium-ivt-dt-cars-Kolkata_d82f6b0d-1747-48fd-aa54-9737a292b977.htm,6.85L,2018,"36,312 kms",Petrol,Automatic,"E.K.T, Kolkata","AI Expert
GREAT PRICE
1st owner, 36k km — ownership is clean on this Creta.
300-point inspection done. Warranty included.
Read full report",₹6.85 Lakh,"36,312 km","EMI from ₹17,002/mo",Petrol,Automatic,1st Owner
Tata Safari Accomplished Plus,https://www.cardekho.com/used-car-details/used-Tata-safari-accomplished-plus-cars-Kolkata_3527661d-988a-4708-ab96-b6c3c83c0c2a.htm?adId=32985&adType=41,16L,2023,"86,000 kms",Diesel,Manual,"Khiddirpore, Kolkata","AI Expert
FAIR PRICE
1st owner, no odometer tampering, 86k km on this Safari.
Tata has a wide service network and reliable after-sales support.
Read full report",₹16 Lakh,"86,000 km","EMI from ₹39,713/mo",Diesel,Manual,1st Owner
Maruti Suzuki Wagon R VXI,https://www.cardekho.com/used-car-details/used-Maruti-wagon-r-vxi-cars-Kolkata_f0b8ebb8-8776-4198-b0e8-f8759b9e1eea.htm,2.79L,2015,"44,094 kms",Petrol,Manual,"Airport Po, Kolkata","AI Expert
GREAT PRICE
1st owner, 44k km — documents are clear on this Wagon R.
Comprehensive insurance — valid till March 2027.
Read full report",₹2.79 Lakh,"44,094 km","EMI from ₹22,605/mo",Petrol,Manual,1st Owner
